,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,Autumn,Spring,Summer,Winter
0,18.8,37.2,0.0,11.6,13.1,56.0,30.0,15.0,48.0,22.0,1011.0,1007.9,0.0,0.0,22.2,35.0,0,0,0,1,0
1,21.9,36.1,0.0,12.8,13.2,59.0,11.0,20.0,39.0,31.0,1008.7,1007.9,0.0,1.0,27.5,33.9,0,0,0,1,0
2,20.3,34.4,0.0,11.8,12.7,44.0,17.0,24.0,57.0,34.0,1012.8,1010.7,4.0,1.0,23.5,33.0,0,0,0,1,0
3,18.5,36.5,0.0,11.2,13.3,39.0,11.0,13.0,48.0,20.0,1017.1,1013.1,0.0,0.0,22.5,34.9,0,0,0,1,0
4,21.8,37.2,0.0,11.4,13.2,57.0,19.0,22.0,38.0,21.0,1014.7,1010.8,0.0,0.0,25.3,36.4,0,0,0,1,0
5,19.7,36.4,0.0,12.0,13.2,43.0,15.0,26.0,54.0,35.0,1014.5,1009.7,0.0,0.0,24.6,33.9,0,0,0,1,0
6,18.9,36.3,0.0,12.0,13.2,52.0,15.0,17.0,50.0,23.0,1014.7,1011.1,1.0,1.0,23.1,34.3,0,0,0,1,0
7,20.3,37.2,0.0,10.8,13.2,41.0,15.0,13.0,48.0,24.0,1014.7,1011.4,0.0,0.0,24.2,36.3,0,0,0,1,0
8,19.1,37.1,0.0,12.6,13.3,46.0,13.0,26.0,50.0,32.0,1015.7,1011.4,0.0,1.0,24.4,34.6,0,0,0,1,0
9,20.5,35.7,0.0,11.2,13.1,48.0,13.0,33.0,43.0,26.0,1013.1,1010.5,1.0,0.0,26.0,33.3,0,0,0,1,0
10,21.2,39.1,0.0,12.0,13.1,41.0,20.0,20.0,41.0,15.0,1009.6,1005.4,0.0,0.0,25.6,38.0,0,0,0,1,0
11,13.5,28.4,0.0,11.4,11.3,57.0,24.0,35.0,54.0,52.0,1007.7,1009.0,1.0,6.0,23.8,26.6,0,0,0,1,0
12,10.3,26.9,0.0,9.4,11.2,48.0,2.0,28.0,60.0,37.0,1017.8,1014.9,6.0,1.0,18.1,25.0,0,0,0,1,0
13,14.6,31.7,0.0,9.6,10.2,37.0,17.0,22.0,49.0,35.0,1017.5,1014.6,4.0,6.0,21.4,30.0,0,0,0,1,0
14,19.0,39.8,0.0,10.6,13.1,72.0,35.0,20.0,45.0,16.0,1016.4,1012.0,0.0,0.0,22.7,37.2,0,0,0,1,0
15,22.5,43.0,0.0,13.8,13.1,50.0,31.0,20.0,12.0,18.0,1011.1,1010.1,0.0,1.0,34.0,37.3,0,0,0,1,0
16,17.9,32.6,0.0,13.2,7.2,41.0,9.0,17.0,57.0,31.0,1015.5,1013.9,2.0,7.0,22.1,31.6,0,0,0,1,0
17,21.9,33.5,0.0,8.6,4.8,46.0,15.0,11.0,47.0,31.0,1015.2,1012.0,7.0,7.0,23.9,31.0,0,0,0,1,0
18,15.7,30.0,12.6,8.0,13.2,72.0,17.0,20.0,68.0,39.0,1016.8,1013.9,1.0,1.0,19.5,28.0,1,0,0,1,0
19,15.5,30.1,0.0,8.0,13.0,48.0,24.0,28.0,51.0,35.0,1018.6,1015.0,0.0,1.0,18.7,28.7,0,0,0,1,0
20,15.4,27.3,0.0,10.0,13.0,43.0,17.0,30.0,63.0,42.0,1016.1,1013.5,1.0,4.0,20.1,26.6,0,0,0,1,0
21,18.7,28.7,0.0,8.6,11.1,43.0,15.0,24.0,67.0,48.0,1013.6,1011.6,7.0,1.0,21.5,28.2,0,0,0,1,0
22,20.0,28.9,0.0,9.0,10.7,39.0,20.0,24.0,71.0,50.0,1013.9,1011.7,7.0,1.0,21.8,27.8,0,0,0,1,0
23,13.1,31.0,0.0,7.6,13.0,39.0,7.0,26.0,62.0,46.0,1013.8,1011.4,0.0,0.0,21.4,28.8,0,0,0,1,0
24,17.0,38.6,0.0,9.6,13.2,39.0,13.0,15.0,28.0,18.0,1012.4,1008.0,0.0,0.0,25.3,38.0,0,0,0,1,0
25,17.5,30.8,0.0,10.0,13.0,37.0,6.0,24.0,74.0,54.0,1007.8,1008.3,1.0,1.0,23.6,27.1,0,0,0,1,0
26,17.1,34.5,0.0,8.8,12.6,48.0,9.0,20.0,61.0,34.0,1008.2,1004.2,2.0,6.0,23.3,33.8,0,0,0,1,0
27,21.7,31.2,0.0,10.4,6.5,43.0,11.0,19.0,71.0,51.0,1003.9,1001.2,7.0,4.0,23.3,30.0,0,0,0,1,0
28,19.7,25.6,0.0,7.2,0.3,33.0,19.0,22.0,72.0,58.0,1008.1,1007.9,7.0,8.0,21.0,24.4,0,0,0,1,0
29,18.9,32.1,0.0,4.0,6.4,30.0,13.0,9.0,69.0,51.0,1010.7,1007.0,8.0,7.0,21.7,29.0,0,0,0,1,0
30,23.3,37.4,0.4,6.4,13.1,39.0,19.0,22.0,67.0,40.0,1011.7,1008.8,0.0,1.0,27.5,35.9,0,0,0,1,0
31,21.0,39.1,0.0,10.6,13.1,39.0,19.0,28.0,55.0,36.0,1010.6,1008.4,1.0,1.0,29.7,36.4,0,0,0,1,0
32,18.6,32.7,0.0,10.2,11.9,33.0,9.0,22.0,76.0,47.0,1010.5,1008.4,1.0,1.0,23.9,31.3,0,0,0,1,0
33,20.4,33.3,0.0,8.0,13.0,48.0,22.0,24.0,62.0,29.0,1012.7,1010.1,1.0,1.0,22.6,32.6,0,0,0,1,0
34,17.3,33.2,0.0,11.2,12.9,50.0,13.0,30.0,51.0,36.0,1011.6,1007.0,0.0,0.0,20.9,30.3,0,0,0,1,0
35,15.2,27.0,0.0,10.6,12.3,56.0,26.0,35.0,60.0,36.0,1009.6,1006.5,4.0,2.0,18.4,25.1,0,0,0,1,0
36,9.4,27.3,0.0,9.0,12.7,46.0,13.0,19.0,53.0,29.0,1014.2,1012.6,2.0,0.0,19.5,26.8,0,0,0,1,0
37,15.4,32.9,0.0,9.4,13.0,57.0,28.0,26.0,45.0,22.0,1017.8,1015.0,0.0,0.0,18.6,30.8,0,0,0,1,0
