MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,Autumn,Spring,Summer,Winter
16.7,37.1,0.0,11.2,13.2,39.0,15.0,9.0,45.0,19.0,1013.2,1008.3,0.0,0.0,23.1,35.5,0,0,0,1,0
8.9,21.9,1.4,2.4,11.0,56.0,20.0,33.0,71.0,51.0,1014.0,1010.4,3.0,2.0,17.2,21.2,1,0,1,0,0
6.0,21.0,0.0,3.8,1.9,26.0,7.0,11.0,41.0,23.0,1026.9,1023.7,7.0,7.0,14.4,20.6,0,0,0,0,1
16.5,19.5,11.2,2.2,4.3,44.0,9.0,19.0,96.0,63.0,1013.8,1016.2,8.0,3.0,16.5,18.8,1,0,0,0,1
9.8,21.6,0.0,9.2,13.0,52.0,22.0,33.0,39.0,33.0,1019.6,1017.9,3.0,2.0,18.0,20.7,0,0,1,0,0
10.5,18.6,7.6,3.4,4.4,74.0,13.0,30.0,78.0,63.0,1014.4,1011.8,6.0,4.0,14.0,17.3,1,0,0,0,1
7.4,22.6,0.0,4.0,11.4,37.0,13.0,24.0,59.0,50.0,1022.4,1020.7,1.0,1.0,18.7,21.0,0,0,1,0,0
17.3,28.7,0.0,7.8,11.9,33.0,11.0,19.0,57.0,49.0,1019.3,1016.3,1.0,1.0,21.9,25.9,0,1,0,0,0
15.6,22.4,1.2,4.6,4.5,50.0,17.0,28.0,86.0,66.0,1012.9,1012.0,5.0,7.0,17.9,21.4,1,1,0,0,0
11.3,21.6,0.0,5.2,8.2,35.0,13.0,13.0,54.0,35.0,1029.0,1025.0,5.0,6.0,15.0,20.5,0,1,0,0,0
23.8,35.3,0.0,8.2,7.4,31.0,13.0,11.0,54.0,42.0,1006.8,1004.2,3.0,7.0,28.9,34.2,0,0,0,1,0
8.4,19.6,1.4,2.4,7.7,35.0,7.0,13.0,79.0,50.0,1024.0,1022.3,1.0,7.0,14.6,19.6,1,0,1,0,0
19.8,27.8,0.0,11.6,7.0,43.0,11.0,20.0,68.0,59.0,1008.2,1006.0,8.0,2.0,24.3,26.4,0,0,0,1,0
17.0,29.7,0.0,10.4,12.7,28.0,6.0,13.0,56.0,52.0,1010.9,1011.3,0.0,0.0,25.0,26.8,0,0,0,1,0
14.1,35.8,0.0,8.0,13.3,41.0,13.0,19.0,27.0,17.0,1014.6,1011.7,0.0,0.0,27.2,32.4,0,0,0,1,0
11.0,19.7,1.8,2.6,6.9,35.0,6.0,15.0,84.0,66.0,1019.6,1019.4,2.0,5.0,16.5,18.6,1,0,0,0,1
13.7,25.2,0.0,4.4,7.1,48.0,24.0,13.0,55.0,39.0,1018.5,1015.8,7.0,7.0,16.2,24.2,0,1,0,0,0
14.2,30.6,0.0,8.4,12.5,31.0,9.0,20.0,50.0,45.0,1019.5,1015.8,0.0,1.0,24.0,28.1,0,0,1,0,0
5.6,22.0,0.0,3.2,9.3,24.0,7.0,6.0,62.0,29.0,1033.9,1030.4,0.0,1.0,12.3,21.6,0,1,0,0,0
19.8,36.6,0.0,12.6,11.7,37.0,11.0,11.0,45.0,23.0,1014.7,1011.6,5.0,4.0,24.8,36.2,0,0,0,1,0
14.9,26.4,0.0,8.6,13.0,43.0,6.0,20.0,51.0,51.0,1016.3,1015.3,3.0,1.0,23.4,23.7,0,0,1,0,0
17.7,27.9,0.0,5.6,10.4,43.0,20.0,28.0,63.0,48.0,1012.5,1011.0,5.0,5.0,24.8,26.4,0,1,0,0,0
25.6,41.1,0.0,15.0,13.3,41.0,19.0,15.0,42.0,20.0,1009.6,1005.6,1.0,1.0,32.0,40.0,0,0,0,1,0
13.1,22.1,0.0,2.6,0.1,22.0,7.0,9.0,73.0,53.0,1019.1,1015.2,8.0,8.0,16.0,21.7,0,1,0,0,0
16.4,22.2,0.0,6.8,2.0,63.0,41.0,9.0,48.0,93.0,1004.6,1008.6,7.0,8.0,21.8,13.7,0,0,1,0,0
8.6,21.2,0.0,2.8,3.3,50.0,19.0,24.0,38.0,63.0,1012.9,1010.0,7.0,6.0,15.6,18.9,0,0,0,0,1
7.7,25.6,0.0,4.4,10.9,26.0,7.0,11.0,53.0,30.0,1022.3,1017.6,1.0,1.0,16.2,24.2,0,0,1,0,0
8.7,26.9,0.0,4.6,9.8,28.0,13.0,17.0,31.0,25.0,1018.3,1015.5,2.0,5.0,19.2,25.2,0,1,0,0,0
4.5,18.3,0.0,3.0,4.0,31.0,11.0,15.0,67.0,62.0,1021.1,1018.7,5.0,8.0,14.4,17.0,0,0,1,0,0
20.1,37.7,0.0,8.4,11.5,41.0,9.0,11.0,55.0,34.0,1013.8,1010.9,1.0,1.0,28.2,37.2,0,1,0,0,0
