,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,Autumn,Spring,Summer,Winter
0,19.6,37.6,0.0,11.2,9.8,87.0,20.0,11.0,17.0,16.0,1010.5,1005.8,0.0,3.0,30.4,37.2,0,0,0,1,0
1,21.0,39.1,1.2,9.0,12.2,41.0,24.0,9.0,18.0,13.0,1009.3,1004.6,2.0,5.0,32.5,38.2,1,0,0,1,0
2,22.9,40.9,0.0,11.6,12.6,48.0,7.0,24.0,17.0,11.0,1006.3,1003.4,0.0,3.0,35.0,40.4,0,0,0,1,0
3,24.7,40.5,0.0,16.0,7.8,72.0,2.0,22.0,29.0,24.0,1008.7,1006.9,3.0,6.0,32.3,36.5,0,0,0,1,0
4,23.4,32.4,0.2,12.2,4.1,46.0,9.0,17.0,58.0,43.0,1014.0,1010.7,7.0,6.0,26.8,31.1,0,0,0,1,0
5,21.7,25.1,2.6,8.4,0.2,35.0,19.0,11.0,90.0,78.0,1014.3,1011.1,8.0,7.0,21.9,22.9,1,0,0,1,0
6,20.9,25.7,4.8,4.6,2.1,31.0,11.0,17.0,70.0,77.0,1011.4,1009.9,7.0,8.0,25.0,24.3,1,0,0,1,0
7,17.7,34.6,0.6,3.0,12.2,26.0,15.0,9.0,63.0,27.0,1010.9,1005.9,3.0,1.0,24.5,33.6,0,0,0,1,0
8,24.4,39.0,0.0,8.0,11.0,50.0,28.0,11.0,40.0,20.0,1006.2,1002.6,3.0,3.0,32.5,38.0,0,0,0,1,0
9,25.3,38.6,0.0,11.8,8.7,54.0,22.0,35.0,38.0,51.0,1005.9,1004.4,4.0,7.0,32.8,29.6,0,0,0,1,0
10,25.0,32.3,0.0,12.0,4.2,63.0,26.0,9.0,50.0,73.0,1005.6,1001.3,7.0,7.0,29.5,27.6,0,0,0,1,0
11,20.7,32.2,14.4,3.6,8.4,41.0,13.0,19.0,88.0,37.0,1005.2,1002.7,6.0,6.0,22.5,31.0,1,0,0,1,0
12,16.6,26.6,0.0,9.6,13.3,37.0,26.0,24.0,55.0,39.0,1012.9,1009.6,3.0,1.0,20.7,25.9,0,0,0,1,0
13,13.7,26.8,0.0,9.0,13.3,46.0,20.0,19.0,37.0,24.0,1014.1,1010.5,0.0,0.0,20.5,26.0,0,0,0,1,0
14,13.1,28.5,0.0,10.4,13.4,35.0,20.0,13.0,30.0,15.0,1013.7,1009.6,0.0,0.0,21.7,27.3,0,0,0,1,0
15,13.6,31.7,0.0,10.0,13.4,31.0,22.0,13.0,21.0,15.0,1011.9,1007.9,0.0,0.0,24.6,31.2,0,0,0,1,0
16,15.7,36.3,0.0,9.8,13.4,35.0,9.0,9.0,18.0,11.0,1009.3,1004.9,0.0,0.0,29.2,36.0,0,0,0,1,0
17,19.6,36.9,0.0,10.6,10.4,41.0,15.0,17.0,21.0,12.0,1007.4,1004.9,3.0,2.0,31.0,36.2,0,0,0,1,0
18,24.5,35.2,0.0,14.6,9.6,41.0,26.0,17.0,32.0,19.0,1010.1,1006.6,6.0,4.0,27.4,33.5,0,0,0,1,0
19,19.4,35.2,0.0,13.4,13.0,41.0,31.0,13.0,20.0,14.0,1010.9,1007.0,2.0,3.0,26.9,34.4,0,0,0,1,0
20,19.9,39.3,0.0,12.0,12.5,30.0,19.0,15.0,11.0,12.0,1007.8,1004.1,3.0,2.0,30.7,38.6,0,0,0,1,0
21,21.5,39.9,0.0,13.2,11.5,33.0,13.0,19.0,16.0,13.0,1007.7,1004.9,2.0,3.0,33.2,38.2,0,0,0,1,0
22,21.6,39.4,0.0,13.8,9.7,48.0,28.0,20.0,12.0,13.0,1007.9,1005.0,6.0,6.0,34.0,39.0,0,0,0,1,0
23,22.5,38.5,0.0,19.2,9.8,37.0,20.0,17.0,17.0,19.0,1009.8,1005.7,6.0,5.0,30.5,37.1,0,0,0,1,0
24,27.2,37.6,0.0,14.0,6.4,30.0,13.0,13.0,30.0,22.0,1010.2,1006.1,6.0,6.0,30.4,35.6,0,0,0,1,0
25,26.8,38.9,0.0,11.2,6.0,69.0,20.0,35.0,21.0,58.0,1006.3,1003.5,6.0,8.0,33.5,27.5,0,0,0,1,0
