MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,Autumn,Spring,Summer,Winter
1.6,15.8,0.2,0.2,8.4,15.0,4.0,7.0,97.0,59.0,1008.4,1006.1,5.0,1.0,5.4,15.3,0,0,0,0,1
1.3,13.8,5.6,1.1,9.1,41.0,9.0,24.0,80.0,50.0,1010.1,1010.1,3.0,4.0,8.3,12.5,1,1,0,0,0
11.3,20.0,8.8,0.6,2.0,39.0,19.0,24.0,86.0,41.0,1016.3,1015.3,7.0,1.0,12.5,19.2,1,0,1,0,0
3.7,14.1,0.6,0.9,3.9,33.0,7.0,17.0,100.0,78.0,1025.5,1023.9,8.0,7.0,8.8,12.8,0,0,0,0,1
3.1,12.1,1.0,0.8,8.1,28.0,9.0,4.0,80.0,61.0,1034.5,1031.6,6.0,4.0,7.6,12.1,0,0,0,0,1
24.7,31.8,0.0,13.2,9.3,52.0,20.0,26.0,63.0,45.0,1012.0,1009.3,5.0,7.0,26.2,30.5,0,1,0,0,0
13.8,20.1,0.2,8.4,2.9,52.0,9.0,11.0,64.0,82.0,1010.9,1008.3,8.0,7.0,13.9,16.9,0,0,1,0,0
10.6,30.7,0.0,9.2,11.9,59.0,24.0,39.0,17.0,5.0,1023.3,1019.5,0.0,2.0,19.4,29.5,0,0,1,0,0
13.7,30.0,0.0,4.4,9.4,65.0,9.0,37.0,63.0,26.0,1014.5,1008.9,6.0,6.0,19.2,29.1,0,1,0,0,0
5.1,14.2,0.4,1.6,0.7,48.0,11.0,19.0,83.0,86.0,1020.8,1014.1,8.0,8.0,9.3,11.8,0,1,0,0,0
13.6,30.3,0.0,8.0,9.3,46.0,31.0,28.0,26.0,11.0,1022.0,1017.2,1.0,6.0,22.2,29.7,0,1,0,0,0
13.4,23.9,0.0,8.2,9.8,56.0,28.0,24.0,67.0,28.0,1024.4,1023.2,7.0,7.0,15.4,22.6,0,0,1,0,0
8.9,21.0,0.0,4.4,11.2,39.0,13.0,11.0,66.0,38.0,1028.2,1024.5,0.0,2.0,14.5,19.8,0,0,1,0,0
15.5,32.0,0.0,15.4,11.0,52.0,24.0,31.0,50.0,20.0,1016.9,1014.7,1.0,0.0,17.6,30.5,0,0,0,1,0
9.1,14.3,3.0,1.6,3.3,81.0,22.0,33.0,93.0,78.0,1022.4,1017.8,7.0,7.0,11.6,12.6,1,0,0,0,1
11.0,14.5,13.0,2.0,0.0,33.0,17.0,13.0,93.0,89.0,1019.9,1015.3,8.0,8.0,11.7,14.1,1,1,0,0,0
8.6,15.1,0.2,2.0,1.8,39.0,13.0,26.0,81.0,64.0,1024.0,1019.8,8.0,8.0,10.4,13.5,0,0,1,0,0
7.8,16.5,0.0,6.0,3.3,56.0,26.0,37.0,43.0,32.0,1018.9,1012.6,7.0,7.0,9.6,16.0,0,0,0,0,1
6.6,14.2,0.6,0.8,5.2,41.0,7.0,15.0,71.0,83.0,1029.1,1026.6,5.0,6.0,10.7,11.9,0,0,0,0,1
11.1,16.2,0.2,1.2,4.1,41.0,28.0,19.0,93.0,73.0,1022.8,1023.6,7.0,8.0,12.4,14.4,0,1,0,0,0
13.5,29.5,0.0,4.0,10.7,26.0,9.0,6.0,76.0,43.0,1015.7,1014.0,5.0,6.0,20.1,27.8,0,1,0,0,0
9.5,14.3,2.2,3.4,8.7,57.0,20.0,19.0,59.0,52.0,1013.6,1013.4,4.0,6.0,11.8,12.6,1,0,1,0,0
8.7,15.4,0.2,0.8,2.9,41.0,24.0,26.0,88.0,87.0,1009.6,1008.4,6.0,7.0,9.7,14.4,0,0,0,0,1
11.6,17.1,2.6,1.0,1.1,37.0,20.0,22.0,97.0,63.0,1014.8,1015.9,8.0,7.0,12.1,15.6,1,0,1,0,0
6.8,14.4,4.6,1.8,7.9,50.0,24.0,31.0,78.0,60.0,1027.7,1027.6,6.0,7.0,11.7,12.8,1,0,0,0,1
9.6,19.8,0.0,5.0,6.5,50.0,13.0,26.0,81.0,59.0,1011.6,1011.1,7.0,7.0,13.0,17.7,0,0,0,1,0
8.5,12.2,0.0,3.2,4.5,57.0,24.0,30.0,77.0,82.0,1012.6,1012.3,7.0,7.0,9.5,8.2,0,0,0,0,1
16.8,32.6,0.0,12.0,11.5,46.0,28.0,15.0,38.0,11.0,1015.2,1012.2,0.0,0.0,22.5,30.6,0,0,0,1,0
9.8,20.1,0.0,4.8,8.3,41.0,17.0,20.0,60.0,47.0,1015.3,1013.7,6.0,7.0,15.1,18.9,0,0,1,0,0
17.9,29.0,3.8,6.4,8.5,48.0,22.0,19.0,69.0,44.0,1019.0,1014.2,6.0,7.0,21.1,27.8,1,1,0,0,0
7.8,22.9,0.0,5.0,10.4,48.0,17.0,28.0,70.0,38.0,1020.6,1017.7,1.0,2.0,14.6,22.2,0,1,0,0,0
12.7,23.1,1.0,3.0,6.4,52.0,19.0,28.0,94.0,70.0,1015.0,1013.6,6.0,8.0,15.5,20.4,0,1,0,0,0
8.0,16.8,0.0,1.6,4.6,39.0,9.0,17.0,64.0,36.0,1022.1,1018.4,7.0,7.0,10.1,15.2,0,0,0,0,1
4.8,19.9,0.0,3.4,9.6,37.0,9.0,24.0,75.0,43.0,1024.4,1021.9,7.0,1.0,12.1,19.5,0,1,0,0,0
12.9,17.6,13.0,4.1,5.2,65.0,20.0,28.0,97.0,60.0,1012.9,1012.1,8.0,6.0,12.9,16.0,1,1,0,0,0
12.6,27.2,0.0,6.2,10.9,37.0,22.0,9.0,52.0,21.0,1025.3,1021.8,0.0,2.0,18.2,26.2,0,1,0,0,0
13.1,20.2,0.0,5.8,6.6,54.0,31.0,37.0,68.0,50.0,1016.2,1016.0,8.0,7.0,16.1,18.4,0,0,0,1,0
4.2,17.5,0.6,0.8,3.1,17.0,4.0,9.0,95.0,78.0,1026.3,1023.5,6.0,8.0,9.5,13.6,0,1,0,0,0
8.5,24.0,0.0,4.2,8.4,31.0,15.0,9.0,48.0,20.0,1025.7,1021.1,3.0,3.0,15.3,23.0,0,0,1,0,0
11.0,15.7,0.0,2.4,3.4,35.0,11.0,28.0,69.0,61.0,1020.4,1019.9,6.0,7.0,13.4,14.2,0,0,1,0,0
10.9,27.5,0.0,7.8,7.1,67.0,19.0,11.0,47.0,20.0,1017.1,1011.8,3.0,3.0,17.4,25.7,0,0,0,0,1
6.8,11.9,0.0,3.4,3.2,41.0,22.0,19.0,74.0,80.0,1022.3,1021.7,6.0,7.0,9.2,11.1,0,0,0,0,1
7.1,13.3,1.4,0.4,2.2,37.0,13.0,19.0,87.0,63.0,1027.3,1026.9,7.0,7.0,10.3,11.9,1,0,0,0,1
8.5,23.0,0.0,4.0,7.5,74.0,30.0,35.0,40.0,25.0,1010.5,1005.1,7.0,3.0,15.1,22.7,0,0,1,0,0
7.0,13.8,4.4,1.2,1.3,26.0,9.0,7.0,88.0,70.0,1013.9,1010.1,7.0,7.0,10.4,13.1,1,0,0,0,1
14.4,26.5,0.0,7.8,11.4,43.0,19.0,7.0,73.0,37.0,1015.3,1013.6,6.0,4.0,16.9,25.9,0,0,0,1,0
12.5,20.2,1.0,3.0,6.5,52.0,19.0,30.0,82.0,59.0,1021.4,1020.1,5.0,7.0,16.8,18.5,0,1,0,0,0
15.8,33.9,0.0,8.2,11.6,37.0,17.0,15.0,39.0,29.0,1018.7,1018.0,3.0,6.0,27.5,31.9,0,0,1,0,0
6.2,24.8,0.0,4.0,12.0,37.0,9.0,24.0,68.0,46.0,1009.8,1006.8,0.0,5.0,16.0,22.7,0,0,0,1,0
9.9,13.1,8.6,1.2,3.7,39.0,17.0,24.0,97.0,65.0,1016.1,1017.9,8.0,5.0,10.1,12.1,1,0,0,0,1
16.2,28.1,0.0,12.0,13.2,59.0,20.0,35.0,55.0,35.0,1014.9,1012.9,0.0,3.0,19.7,26.5,0,0,0,1,0
16.5,31.4,0.0,12.0,12.5,44.0,15.0,20.0,35.0,23.0,1020.1,1015.7,3.0,3.0,22.5,29.7,0,0,1,0,0
8.1,15.3,4.2,1.4,7.6,39.0,11.0,24.0,86.0,83.0,1021.1,1021.7,7.0,1.0,11.0,13.1,1,0,0,0,1
11.2,27.7,0.0,4.8,11.6,39.0,20.0,28.0,75.0,47.0,1015.8,1012.9,5.0,6.0,17.0,26.2,0,0,0,1,0
