,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,Autumn,Spring,Summer,Winter
0,8.0,24.3,0.0,3.4,6.3,30.0,6.0,20.0,68.0,29.0,1019.7,1015.0,7.0,7.0,14.4,23.6,0,0,1,0,0
1,14.0,26.9,3.6,4.4,9.7,39.0,4.0,17.0,80.0,36.0,1012.4,1008.4,5.0,3.0,17.5,25.7,1,0,1,0,0
2,13.7,23.4,3.6,5.8,3.3,85.0,6.0,6.0,82.0,69.0,1009.5,1007.2,8.0,7.0,15.4,20.2,1,0,1,0,0
3,13.3,15.5,39.8,7.2,9.1,54.0,30.0,24.0,62.0,56.0,1005.5,1007.0,2.0,7.0,13.5,14.1,1,0,1,0,0
4,7.6,16.1,2.8,5.6,10.6,50.0,20.0,28.0,68.0,49.0,1018.3,1018.5,7.0,7.0,11.1,15.4,1,0,1,0,0
5,6.2,16.9,0.0,5.8,8.2,44.0,20.0,24.0,70.0,57.0,1023.8,1021.7,7.0,5.0,10.9,14.8,0,0,1,0,0
6,6.1,18.2,0.2,4.2,8.4,43.0,19.0,26.0,63.0,47.0,1024.6,1022.2,4.0,6.0,12.4,17.3,0,0,1,0,0
7,8.3,17.0,0.0,5.6,4.6,41.0,11.0,24.0,65.0,57.0,1026.2,1024.2,6.0,7.0,12.1,15.5,0,0,1,0,0
8,8.8,19.5,0.0,4.0,4.1,48.0,19.0,17.0,70.0,48.0,1026.1,1022.7,7.0,7.0,14.1,18.9,0,0,1,0,0
9,8.4,22.8,16.2,5.4,7.7,31.0,7.0,6.0,82.0,32.0,1024.1,1020.7,7.0,1.0,13.3,21.7,1,0,1,0,0
10,9.1,25.2,0.0,4.2,11.9,30.0,6.0,9.0,74.0,34.0,1024.4,1021.1,1.0,2.0,14.6,24.0,0,0,1,0,0
11,8.5,27.3,0.2,7.2,12.5,41.0,2.0,15.0,54.0,35.0,1023.8,1019.9,0.0,3.0,16.8,26.0,0,0,1,0,0
12,10.1,27.9,0.0,7.2,13.0,30.0,6.0,7.0,62.0,29.0,1022.0,1017.1,0.0,1.0,17.0,27.1,0,0,1,0,0
13,12.1,30.9,0.0,6.2,12.4,44.0,7.0,20.0,67.0,20.0,1017.3,1013.1,1.0,4.0,19.7,30.7,0,0,1,0,0
14,10.1,31.2,0.0,8.8,13.1,41.0,6.0,20.0,45.0,16.0,1018.2,1013.7,0.0,1.0,18.7,30.4,0,0,1,0,0
15,12.4,32.1,0.0,8.4,11.1,46.0,7.0,9.0,70.0,22.0,1017.9,1012.8,0.0,3.0,19.1,30.7,0,0,1,0,0
16,13.8,31.2,0.0,7.2,8.4,44.0,6.0,19.0,72.0,23.0,1014.4,1009.8,7.0,6.0,20.2,29.8,0,0,1,0,0
17,11.7,30.0,1.2,7.2,10.1,52.0,6.0,11.0,59.0,26.0,1016.4,1013.0,1.0,5.0,20.1,28.6,1,0,1,0,0
18,12.4,32.3,0.6,7.4,13.0,39.0,4.0,17.0,60.0,25.0,1017.1,1013.3,1.0,3.0,20.2,31.2,0,0,1,0,0
19,15.6,33.4,0.0,8.0,10.4,33.0,2.0,13.0,61.0,27.0,1018.5,1013.7,0.0,1.0,22.8,32.0,0,0,1,0,0
